Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,YYYY-mm,week,Week of the Year
144311,USB-C Charging Cable,1,11.95,2019-01-26 07:40:00,"500 South St, Dallas, TX 75001",2019-01,4.0,4
144304,USB-C Charging Cable,1,11.95,2019-01-22 16:53:00,"451 Elm St, Atlanta, GA 30301",2019-01,4.0,4
144331,Apple Airpods Headphones,1,150.0,2019-01-26 14:08:00,"389 Hill St, Los Angeles, CA 90001",2019-01,4.0,4
144328,Wired Headphones,1,11.99,2019-01-23 12:47:00,"332 River St, New York City, NY 10001",2019-01,4.0,4
144326,USB-C Charging Cable,1,11.95,2019-01-25 12:22:00,"63 Center St, New York City, NY 10001",2019-01,4.0,4
144322,Wired Headphones,2,11.99,2019-01-23 19:09:00,"578 Highland St, Boston, MA 02215",2019-01,4.0,4
144303,iPhone,1,700.0,2019-01-26 09:03:00,"419 Meadow St, San Francisco, CA 94016",2019-01,4.0,4
144274,USB-C Charging Cable,1,11.95,2019-01-22 11:04:00,"642 Hill St, New York City, NY 10001",2019-01,4.0,4
144273,Lightning Charging Cable,1,14.95,2019-01-22 10:01:00,"300 Ridge St, Atlanta, GA 30301",2019-01,4.0,4
144272,AAA Batteries (4-pack),1,2.99,2019-01-21 21:42:00,"413 Jefferson St, Los Angeles, CA 90001",2019-01,4.0,4
144267,USB-C Charging Cable,1,11.95,2019-01-27 11:33:00,"998 11th St, Boston, MA 02215",2019-01,4.0,4
144288,AAA Batteries (4-pack),2,2.99,2019-01-26 21:57:00,"987 South St, Los Angeles, CA 90001",2019-01,4.0,4
144286,Lightning Charging Cable,1,14.95,2019-01-24 07:09:00,"606 10th St, New York City, NY 10001",2019-01,4.0,4
144339,iPhone,1,700.0,2019-01-21 14:33:00,"953 Hickory St, Los Angeles, CA 90001",2019-01,4.0,4
144339,Wired Headphones,1,11.99,2019-01-21 14:33:00,"953 Hickory St, Los Angeles, CA 90001",2019-01,4.0,4
144380,Bose SoundSport Headphones,1,99.99,2019-01-27 20:16:00,"696 14th St, San Francisco, CA 94016",2019-01,4.0,4
144379,Bose SoundSport Headphones,1,99.99,2019-01-22 07:05:00,"357 9th St, San Francisco, CA 94016",2019-01,4.0,4
144408,Lightning Charging Cable,1,14.95,2019-01-24 21:03:00,"728 Lake St, New York City, NY 10001",2019-01,4.0,4
144400,Apple Airpods Headphones,1,150.0,2019-01-24 09:17:00,"176 13th St, Los Angeles, CA 90001",2019-01,4.0,4
144373,AA Batteries (4-pack),1,3.84,2019-01-21 12:48:00,"13 Hickory St, Dallas, TX 75001",2019-01,4.0,4
144352,AA Batteries (4-pack),1,3.84,2019-01-23 17:26:00,"161 Forest St, Boston, MA 02215",2019-01,4.0,4
144347,Apple Airpods Headphones,1,150.0,2019-01-21 12:11:00,"594 6th St, Portland, OR 97035",2019-01,4.0,4
144345,Bose SoundSport Headphones,1,99.99,2019-01-22 14:50:00,"740 4th St, Atlanta, GA 30301",2019-01,4.0,4
144344,USB-C Charging Cable,1,11.95,2019-01-25 22:26:00,"188 14th St, Boston, MA 02215",2019-01,4.0,4
144342,Bose SoundSport Headphones,1,99.99,2019-01-27 13:43:00,"66 Washington St, Los Angeles, CA 90001",2019-01,4.0,4
144366,AA Batteries (4-pack),1,3.84,2019-01-25 11:25:00,"932 8th St, Boston, MA 02215",2019-01,4.0,4
144362,Lightning Charging Cable,1,14.95,2019-01-23 00:38:00,"195 Johnson St, San Francisco, CA 94016",2019-01,4.0,4
144164,Bose SoundSport Headphones,1,99.99,2019-01-22 11:46:00,"632 Wilson St, San Francisco, CA 94016",2019-01,4.0,4
144157,Apple Airpods Headphones,1,150.0,2019-01-27 15:07:00,"746 Jackson St, New York City, NY 10001",2019-01,4.0,4
